epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,77.6261,0.6023,0.85305,1.03573,0.00356,1.06185,0.74331,0.7461,0.80257,0.69585,0.74331,0.7461,0.79799,0.69713,0.58281,0.98463,0.93533,0.00483,0,0.000980345,0.000980345,0.000980345
29,79.9069,0.56771,0.85665,0.93355,0.00341,1.00123,0.69447,0.7836,0.80382,0.69586,0.69468,0.78285,0.8,0.69006,0.71089,0.96326,0.88375,0.00607,0,0.000978873,0.000978873,0.000978873
30,82.2017,0.58273,0.90101,0.94858,0.00344,0.92919,0.67968,0.82665,0.83864,0.73213,0.67606,0.82189,0.83335,0.72272,0.57695,1.25621,0.95058,0.00473,0,0.000977349,0.000977349,0.000977349
31,84.4834,0.56404,0.79105,0.92992,0.00315,0.8683,0.72927,0.73151,0.80888,0.7293,0.72541,0.72039,0.80423,0.7211,0.52537,0.99841,0.8541,0.00443,0,0.000975773,0.000975773,0.000975773
32,86.8668,0.54495,0.83417,0.90562,0.00327,0.79024,0.85162,0.69118,0.87679,0.79038,0.84624,0.68642,0.86676,0.78827,0.55138,0.8894,0.6959,0.00484,0,0.000974145,0.000974145,0.000974145
33,89.235,0.55742,0.75771,0.9218,0.00308,0.76753,0.73691,0.75693,0.82975,0.73519,0.73233,0.75217,0.81812,0.73754,0.58168,0.84893,0.78189,0.00489,0,0.000972466,0.000972466,0.000972466
34,91.5677,0.61661,0.85259,0.88574,0.00358,0.776,0.70429,0.78427,0.83516,0.73316,0.69112,0.77072,0.82398,0.72995,0.59475,0.83721,0.92002,0.00493,0,0.000970736,0.000970736,0.000970736
35,93.8942,0.55244,0.7706,0.90856,0.00364,0.63179,0.71805,0.82594,0.85043,0.76176,0.71419,0.82118,0.84321,0.74354,0.58842,0.82715,0.763,0.00507,0,0.000968955,0.000968955,0.000968955
36,96.1695,0.58058,0.8348,0.81957,0.00341,0.55393,0.73341,0.81245,0.8273,0.72397,0.71316,0.81886,0.82106,0.72454,0.62353,0.82176,1.03073,0.00539,0,0.000967122,0.000967122,0.000967122
37,98.5238,0.57711,0.92644,0.87331,0.00326,0.51706,0.74985,0.77732,0.82139,0.72211,0.77019,0.77319,0.81402,0.71782,0.61237,0.96634,0.96515,0.00522,0,0.000965239,0.000965239,0.000965239
